text,label
Serius tidak percaya ini nyata,5
Di luar ekspektasi banget,5
Aku bahagia banget sekarang,1
Perasaanku gembira banget,1
Kaget banget diajak liburan mendadak,5
Aku penuh semangat dan kebahagiaan,1
Tidak nyangka bisa dapat ini,5
Kaget banget dibeliin iphone sama mama,5
Kaget banget dapat promosi dadakan,5
Kaget banget waktu lihat hasilnya,5
Senang deh bisa liburan,1
Astaga tidak percaya ini terjadi,5
Ulang tahunku hari ini dan aku sangat senang,1
Seneng parah deh pokoknya,1
Aku melongo kaget sekali,5
Aku excited banget hari ini,1
Aku tercengang dengan kejutan ini,5
Alhamdulillah dapat rejeki hari ini,1
Senang deh bisa liburan,1
Alhamdulillah bahagia banget,1
Hari ini cuaca cerah dan aku senang,1
Rasanya senang bisa berkontribusi,1
Aku syok dan kaget berbarengan,5
Aku merasa senang dan bahagia,1
Hari paling seneng seumur hidup,1
Wah ternyata begini hasilnya,5
Kaget banget waktu lihat hasilnya,5
Wow aku tidak percaya ini nyata,5
Aku merasa bahagia dan bersyukur,1
Aku senang karena mimpi burukku tidak jadi kenyataan,1
Gila ga nyangka banget ini,5
Aku serius tidak nyangka bisa begini,5
Aku takjub ternyata bisa seindah ini,5
Aku girang karena impianku tercapai,1
Menyenangkan banget hari ini,1
Aku tidak percaya masih bisa begini,5
Aku takjub lihat hasilnya,5
Kaget banget diajak liburan mendadak,5
"Naik jabatan, aku senang sekali",1
Astaga kaget banget aku,5
Melongo banget lihat kenyataan ini,5
Hati ini penuh kebahagiaan,1
Waktu yang menyenangkan banget,1
Anjir kaget parah sumpah,5
Aku kaget karena tidak menyangka bisa begini,5
Beneran ga nyangka bisa begini,5
Aku lega dan bahagia akhirnya,1
Wkwk seneng banget sih hari ini,1
Astaga kaget banget aku,5
Perasaanku bahagia sekali,1
Aku excited banget hari ini,1
Lega deh semuanya beres,1
Kaget banget diajak liburan mendadak,5
Perasaanku bahagia sekali,1
Astaga tidak nyangka sama sekali,5
Aku bersyukur dan bahagia banget,1
Ga nyangka banget dapat surprise ini,5
Hari ini aku merasa sangat senang,1
Aku senang karena dapat hadiah,1
Aku benar-benar senang hari ini,1
Bahagia deh bisa ketemu teman lama,1
Aku seneng dapat nilai bagus,1
Kejutan ini bikin aku kaget banget,5
Tidak percaya banget ini nyata,5
"Proyek selesai tepat waktu, aku senang",1
Melongo deh lihat betapa bagusnya ini,5
Berita yang sangat mengejutkan,5
Terkejut lihat apa yang terjadi,5
Aku terkejut karena di luar dugaan,5
Hari ini adalah hari yang membahagiakan,1
Kaget banget waktu tau aku lulus cum laude,5
Waktu yang menyenangkan banget,1
Tiba-tiba dia muncul dan aku kaget,5
Aku sangat bersuka cita hari ini,1
Astaga tidak nyangka sama sekali,5
Aku lega karena dapat kabar baik,1
Rasanya senang bisa berkontribusi,1
Gila seneng banget sumpah,1
Tidak nyangka tiba-tiba dapat transferan,5
Kebahagiaanku hari ini sangat besar,1
Aku lega dan bahagia akhirnya,1
Sungguh mengejutkan apa yang terjadi,5
Aku girang banget hari ini,1
Aku bahagia lihat senyummu,1
Rasanya menyenangkan sekali bisa disini,1
Ini benar-benar di luar dugaan,5
Tak disangka hasilnya mengejutkan,5
OMG aku syok banget,5
Hari ini luar biasa menyenangkan,1
"Lulus sidang, alhamdulillah bahagia",1
Aku sangat bahagia hari ini,1
"Berhasil masak enak, aku senang",1
"Dapat promosi kerja, aku gembira",1
Menyenangkan banget hari ini,1
Terkejut dapat beasiswa penuh,5
Aku senang bisa melihat senyummu,1
Perasaanku excited dan bahagia,1
Aku kaget karena ini di luar dugaan,5
Tidak nyangka dapat hadiah ulang tahun sebesar ini,5
Tidak nyangka dapat hadiah dari orang tak dikenal,5
Astaga tidak nyangka sama sekali,5
Aku senang bisa menyelesaikan semuanya,1
Wah ternyata begini hasilnya,5
Duh ga nyangka banget sih,5
Aku gembira bisa kumpul sama keluarga,1
Aku takjub lihat hasilnya,5
Aku senang bisa menyelesaikan semuanya,1
Seneng parah deh pokoknya,1
Wah mengejutkan banget,5
Perasaanku gembira banget,1
Pengalaman yang sangat menyenangkan,1
Kaget banget dibeliin iphone sama mama,5
Tiba-tiba dapat berita yang bikin kaget,5
Wow mengejutkan banget hasilnya,5
Kaget banget diajak liburan mendadak,5
Pengalaman yang sangat menyenangkan,1
Aku tidak menyangka kamu masih ingat,5
Perasaanku excited dan bahagia,1
Beneran ga nyangka bisa begini,5
Perjalanan ini sangat menyenangkan,1
Gembira rasanya bisa lulus,1
Rasanya senang banget pas lulus ujian,1
Aku lega karena dapat kabar baik,1
Happy deh bisa jalan-jalan,1
Tidak nyangka tiba-tiba dapat transferan,5
Wah ternyata begini hasilnya,5
Aku suka banget dapat kabar ini,1
Aku excited dapat kesempatan ini,1
Aku tercengang dengan kejutan ini,5
Aku benar-benar senang hari ini,1
Senang rasanya bisa selesaikan tugas ini,1
Kaget banget dapat promosi dadakan,5
Aku takjub ternyata bisa seindah ini,5
Aku merasa bahagia dan bersyukur,1
Aku sangat menikmati hari ini,1
Ini benar-benar di luar dugaan,5
Aku gembira bisa kumpul sama keluarga,1
Ini sangat mengejutkan sekali,5
Ini kejutan terbesar dalam hidupku,5
Perasaanku excited dan bahagia,1
Aku senang bisa menyelesaikan semuanya,1
Wah tidak nyangka sama sekali,5
Sungguh indah dan menyenangkan hari ini,1
Aku terkejut banget hari ini,5
Wah ternyata begini hasilnya,5
Aku penuh semangat dan kebahagiaan,1
Aku sangat bahagia hari ini,1
Syok parah lihat hasilnya,5
"Naik jabatan, aku senang sekali",1
Aku syok tidak percaya ini nyata,5
OMG ini beneran terjadi?,5
Excited banget nunggu hasilnya,1
Di luar ekspektasi banget,5
Senangnya bukan main hari ini,1
"Dapat beasiswa, aku sangat bahagia",1
Gembira rasanya bisa lulus,1
Wah tidak nyangka sama sekali,5
Tidak bisa ungkapkan betapa senangnya aku,1
Aku tidak percaya hasilnya sebagus ini,5
Anjir seneng banget dapet ini,1
Wkwk seneng banget sih hari ini,1
Senangnya bukan main hari ini,1
Astaga tidak percaya ini terjadi,5
Aku lega dan bahagia akhirnya,1
Aku tidak menyangka dapat hadiah ini,5
Beneran ga nyangka bisa begini,5
Tidak percaya ternyata dia yang datang,5
"Aku senang, benar-benar senang",1
Beneran ga nyangka bisa begini,5
Aku tidak menyangka kamu masih ingat,5
Tidak disangka sama sekali ini terjadi,5
Wkwk kaget parah deh,5
Astaga tidak percaya ini terjadi,5
Wow ternyata bisa sebaik ini,5
Berita yang sangat mengejutkan,5
Sumpah kaget banget gila,5
Wow aku tidak percaya ini nyata,5
Ngga nyangka bisa seseneng ini,1
Perasaanku gembira banget,1
Tidak percaya ternyata menang lomba,5
Aku gembira karena dapat berita bagus,1
"Tiba-tiba ada yang ngasih hadiah, kaget banget",5
Aku kaget banget tiba-tiba dapat hadiah,5
Rasanya senang bisa berkontribusi,1
Perasaanku senang tidak terkira,1
Suka deh lihat kamu tersenyum,1
Serius mengejutkan banget beritanya,5
Aku excited banget hari ini,1
Serius tidak percaya ini nyata,5
Aku terkena kejutan yang tidak terduga,5
Aku suka banget dapat kabar ini,1
Aku senang karena mimpi burukku tidak jadi kenyataan,1
Hari ini benar-benar menyenangkan,1
Aku sangat senang bisa membantu kamu,1
Aku suka banget dapat kabar ini,1
Aduh kaget banget tiba-tiba,5
Bahagia sekali bisa sama kamu,1
Bahagia sekali bisa sama kamu,1
Sumpah seneng banget rasanya,1
Tidak nyangka dapat hadiah ulang tahun sebesar ini,5
"Lulus sidang, alhamdulillah bahagia",1
Tercengang melihat betapa menakjubkannya ini,5
"Tiba-tiba ada yang ngasih hadiah, kaget banget",5
"Dapat promosi kerja, aku gembira",1
Sungguh mengejutkan apa yang terjadi,5
Aku tidak menyangka bisa sebaik ini,5
"Beli barang impian, senang banget rasanya",1
"Dapat beasiswa, aku sangat bahagia",1
Ulang tahunku hari ini dan aku sangat senang,1
Kaget deh lihat nilainya bagus banget,5
"Nonton film bagus, menyenangkan banget",1
Di luar ekspektasi banget,5
Perasaanku senang tidak terkira,1
Betapa senangnya hati ini,1
Sungguh indah dan menyenangkan hari ini,1
Tidak percaya banget ini nyata,5
Wkwk seneng banget sih hari ini,1
Aku tidak menyangka bisa ketemu lagi,5
"Proyek selesai tepat waktu, aku senang",1
Syok lihat nilai ujian bagus banget,5
Hari ini aku merasa sangat senang,1
Seneng banget hari ini,1
Astaga ternyata begini,5
Tidak percaya ini benar-benar terjadi,5
Aku terkejut banget hari ini,5
Hari ini benar-benar menyenangkan,1
Tidak disangka sama sekali ini terjadi,5
Aku excited dapat kesempatan ini,1
Alhamdulillah dapat rejeki hari ini,1
Aku seneng karena dapat surprise,1
Aku gembira banget sekarang,1
Ngga nyangka bisa seseneng ini,1
Aku sangat bersuka cita hari ini,1
Aku tidak bisa berhenti senyum karena senang,1
Lega banget setelah ujian selesai,1
Aku riang gembira hari ini,1
Di luar ekspektasi banget,5
Kaget banget dibeliin iphone sama mama,5
Astaga tidak nyangka sama sekali,5
Melongo banget lihat kenyataan ini,5
Tiba-tiba dapat kabar mengejutkan,5
Wow mengejutkan banget hasilnya,5
Astaga ternyata begini,5
Gembira rasanya bisa lulus,1
Aku happy banget hari ini,1
Kaget banget waktu lihat hasilnya,5
OMG ini beneran terjadi?,5
Aku happy karena semuanya berjalan lancar,1
Di luar ekspektasi banget,5
"Proyek selesai tepat waktu, aku senang",1
Takjub lihat pemandangan yang indah tiba-tiba,5
Aku tidak bisa berhenti senyum karena senang,1
Aku merasa bahagia dan bersyukur,1
Berita yang sangat mengejutkan,5
Tiba-tiba dapat kabar mengejutkan,5
Tidak nyangka teman lama tiba-tiba muncul,5
Di luar ekspektasi banget,5
Tidak nyangka teman lama tiba-tiba muncul,5
Tercengang banget dengan hasilnya,5
Serius mengejutkan banget beritanya,5
Tidak nyangka teman lama tiba-tiba muncul,5
Senang banget bisa belajar hal baru,1
Happy deh bisa jalan-jalan,1
Dapat kejutan yang bikin terkejut,5
Melongo deh lihat betapa bagusnya ini,5
Astaga aku syok lihat ini,5
Wow ternyata bisa sebaik ini,5
Serius tidak percaya ini nyata,5
"Tiba-tiba ada yang ngasih hadiah, kaget banget",5
Serius mengejutkan banget beritanya,5
"Ketemu teman lama, seneng banget",1
Ngga nyangka bisa seseneng ini,1
Girang sekali lihat hasilnya,1
Ini sangat mengejutkan sekali,5
Kaget deh lihat nilainya bagus banget,5
Aku merasakan kebahagiaan yang luar biasa,1
Seneng parah deh pokoknya,1
Kebahagiaan ini terasa nyata banget,1
Tiba-tiba dapat kabar mengejutkan,5
Tiba-tiba dapat kabar mengejutkan,5
Aku sangat menikmati hari ini,1
Serius tidak percaya ini nyata,5
"Dapat pujian dari atasan, senang rasanya",1
Ini sangat mengejutkan sekali,5
Wkwk kaget parah deh,5
Hari ini sangat menyenangkan,1
Kaget deh lihat nilainya bagus banget,5
Alhamdulillah impianku tercapai,1
Kaget banget waktu tau aku lulus cum laude,5
Rasa bahagia itu nyata banget sekarang,1
Ini sangat mengejutkan sekali,5
Aku senang karena hari ini produktif,1
Serius? Aku kaget banget dengar ini,5
Sungguh hari yang membahagiakan,1
Ngga nyangka bisa seseneng ini,1
Aku bahagia karena keluarga ku sehat,1
Senang deh bisa liburan,1
Sungguh menyenangkan bisa kumpul bersama,1
Aku merasa bahagia dan bersyukur,1
Aku merasa bahagia dan bersyukur,1
Aku tercengang tidak percaya mataku sendiri,5
Terkejut dapat beasiswa penuh,5
Ngga nyangka bisa seseneng ini,1
Wkwk seneng banget sih hari ini,1
Aku suka hari ini,1
Wow mengejutkan banget hasilnya,5
Tiba-tiba dapat berita yang bikin kaget,5
Takjub sekali melihat perubahan ini,5
Hari paling seneng seumur hidup,1
Alhamdulillah bahagia banget,1
Tidak nyangka teman lama tiba-tiba muncul,5
Anjir seneng banget dapet ini,1
Aduh kaget banget tiba-tiba,5
Terkejut banget dapat kabar ini,5
Tidak percaya ternyata dia yang datang,5
Aku lega dan bahagia akhirnya,1
OMG tidak nyangka banget,5
Ini sangat mengejutkan sekali,5
Seneng deh dapat kabar baik,1
Aku tidak menyangka bisa sebaik ini,5
Terkejut dapat beasiswa penuh,5
"Dapat pujian dari atasan, senang rasanya",1
Aku gembira banget sekarang,1
Bahagia sekali bisa sama kamu,1
Terkejut banget dapat kabar ini,5
Rasanya senang banget pas lulus ujian,1
Aku senang sekali bisa ketemu kamu,1
"Aku suka banget hari ini, sangat menyenangkan",1
Aku excited dapat kesempatan ini,1
Astaga ternyata begini,5
Tidak nyangka dapat hadiah dari orang tak dikenal,5
"Masakan hari ini enak, aku senang",1
Syok lihat nilai ujian bagus banget,5
Aku suka banget dapat kabar ini,1
Aku melongo tidak bisa berkata-kata,5
Tidak menyangka ternyata sebagus ini,5
Tidak nyangka bisa dapat ini,5
Aku syok banget dengar beritanya,5
"Keluarga kumpul lengkap, bahagia banget",1
Aku tidak menyangka bisa ketemu lagi,5
Rasanya senang bisa berkontribusi,1
Aku suka banget hasilnya,1
Senang deh bisa liburan,1
Alhamdulillah senang banget hari ini,1
Aku syok banget dengar beritanya,5
Hati ini penuh kebahagiaan,1
Mengejutkan banget berita ini,5
Astaga tidak percaya ini terjadi,5
"Dapat hadiah ulang tahun, bahagia banget",1
Tidak nyangka bisa dapat ini,5
Menyenangkan banget hari ini,1
"Dapat pujian dari atasan, senang rasanya",1
Rasanya senang banget pas lulus ujian,1
Tidak nyangka dapat hadiah ulang tahun sebesar ini,5
Kaget deh lihat nilainya bagus banget,5
Aku senang banget hari ini,1
Aku kaget dengan berita yang mengejutkan ini,5
Aku kaget banget tiba-tiba dapat hadiah,5
Tidak nyangka dapat hadiah dari orang tak dikenal,5
Wow tidak nyangka bisa begini,5
"Proyek selesai tepat waktu, aku senang",1
Aku senang banget hari ini,1
Takjub sekali melihat perubahan ini,5
Aku tercengang dengan kejutan ini,5
Aku tidak menyangka dapat hadiah ini,5
Takjub sekali melihat perubahan ini,5
Tidak nyangka teman lama tiba-tiba muncul,5
Serius mengejutkan banget beritanya,5
Tidak percaya ternyata dia yang datang,5
Tidak menyangka ternyata sebagus ini,5
Aku sangat menikmati hari ini,1
Hari ini cuaca cerah dan aku senang,1
Aku lega dan bahagia akhirnya,1
Aku gembira karena dapat berita bagus,1
Aku happy banget hari ini,1
Tidak nyangka dapat hadiah ulang tahun sebesar ini,5
Kaget banget dibeliin iphone sama mama,5
Aku senang karena mimpi burukku tidak jadi kenyataan,1
Sungguh hari yang membahagiakan,1
Alhamdulillah bahagia banget,1
Tidak disangka ternyata begini jadinya,5
Beneran deh seneng parah,1
"Dapat kabar gembira dari keluarga, senang",1
Aku riang gembira hari ini,1
Sungguh indah dan menyenangkan hari ini,1
Tercengang melihat betapa menakjubkannya ini,5
Tidak nyangka dapat hadiah ulang tahun sebesar ini,5
Aku sangat bahagia hari ini,1
Aku syok banget dengar beritanya,5
Kaget banget waktu tau aku lulus cum laude,5
Senangnya melihat kamu baik-baik saja,1
Kejutan yang luar biasa bikin kaget,5
Aku kaget karena ini di luar dugaan,5
Tidak nyangka dapat hadiah ulang tahun sebesar ini,5
Perasaanku bahagia sekali,1
Tiba-tiba dapat kabar mengejutkan,5
Aku seneng lihat progressnya,1
Aku tercengang melihat ini,5
Terkejut banget dapat kabar ini,5
Alhamdulillah bahagia banget,1
Wow ternyata bisa sebaik ini,5
Astaga tidak percaya ini terjadi,5
Perasaanku gembira banget,1
Mengejutkan banget berita ini,5
Sumpah kaget banget gila,5
Wah aku kaget banget,5
Aku melongo kaget sekali,5
Aku excited karena besok liburan,1
Tiba-tiba dapat kabar mengejutkan,5
Aku benar-benar senang hari ini,1
Aku senang banget hari ini,1
Perasaanku excited dan bahagia,1
Dapat kejutan yang bikin terkejut,5
Seneng banget bisa main sama temen,1
"Berhasil masak enak, aku senang",1
Alhamdulillah senang banget hari ini,1
"Keluarga kumpul lengkap, bahagia banget",1
Astaga kaget banget aku,5
Aku syok tidak percaya ini nyata,5
Syok banget ternyata begini,5
Suka banget sama hasilnya,1
Aku kaget karena ini di luar dugaan,5
Aku suka banget dapat kabar ini,1
Tidak percaya ternyata menang lomba,5
Waktu yang menyenangkan banget,1
Ga nyangka banget dapat surprise ini,5
Tidak menyangka hasilnya di luar dugaan,5
Astaga tidak nyangka sama sekali,5
Serius kaget banget lihat hasilnya,5
Serius mengejutkan banget beritanya,5
Takjub banget bisa seperti ini,5
Aku seneng dapat nilai bagus,1
"Proyek selesai tepat waktu, aku senang",1
Aku seneng karena dapat surprise,1
Aku tidak menyangka kamu masih ingat,5
Senang banget lihat hasilnya,1
Wah kaget banget ini,5
Pengalaman yang sangat menyenangkan,1
Kaget banget waktu lihat hasilnya,5
"Proyek selesai tepat waktu, aku senang",1
Aku sangat menikmati hari ini,1
Astaga tidak nyangka sama sekali,5
Aku lega dan bahagia akhirnya,1
Aku senang bisa melihat senyummu,1
Aku merasa bahagia dan bersyukur,1
Alhamdulillah semua berjalan lancar,1
Takjub banget bisa seperti ini,5
Tidak menyangka ternyata sebagus ini,5
Aku kaget karena ini di luar dugaan,5
Alhamdulillah impianku tercapai,1
